Model,F1 Score,MCC
Naive Bayes,0.8291139240506329,0.39234748022753135
SVM,0.8788927335640139,0.6071125952648658
Logistic Regression,0.8668941979522184,0.5600914420198233
Decision Tree,0.8432835820895522,0.5267957966525052
